episode,steps,accumulated_reward,enemies_shotdown,friends_shotdown,sucessful_attacks,interest_point_health,total_distance_traveled,state PURSUING,state HOLD - WAIT,state HOLD - RETURN,state HOLD - NO ENOUGH COMM,state HOLD - INTCPT,state GO HOLD INTCPT,state HOLD - SPREAD,state HOLD - JOYSTICK,state HOLD - NO JOYSTICK,state HOLD - BC,state HOLD - BENCHMARK
0,1299,19923.29802356606,28,23,1,97,42858.0,1.9970112756418967,0,0,0.20830503101933606,2.961554136666214,3.043064800978128,0,0,0,0,91.79006475569443
1,1020,13708.019241870892,28,14,0,100,51320.0,1.41025641025641,0,0,0.09803921568627451,3.2428355957767714,3.978129713423831,0,0,0,0,91.27073906485671
2,1222,17909.118987065078,28,19,0,100,52938.0,1.2235990959395213,0,0,0.11690437222352118,1.6171771490920426,2.8485698698464654,0,0,0,0,94.19374951289844
3,1430,22552.54871575591,28,18,0,100,61632.45542475962,2.3108709472345836,0,0,0.18436109345200255,2.0343293070565798,2.5874125874125875,0,0,0,0,92.88302606484426
4,1498,23893.804609863764,28,14,0,100,75283.99999999999,2.1798295162781143,0,0,0.07959330389236931,3.353188867207559,3.9129095203861564,0,0,0,0,90.4744787922358
5,1290,20517.74269872595,28,13,0,100,70496.49380740634,3.540051679586564,0,0,0.3330462245190927,2.0700545506747057,3.7008326155612967,0,0,0,0,90.35601492965836
6,1141,15550.79153050923,28,23,0,100,37076.0,1.9796875805536938,0,0,0.0876424189307625,4.428519874207351,6.5010053100995,0,0,0,0,87.0031448162087
7,1217,17643.66380861546,28,18,0,100,52030.0,1.7255546425636812,0,0,0.08216926869350863,2.834839769926048,4.078583700605065,0,0,0,0,91.27885261821172
8,1218,18063.42939818661,28,17,0,100,54650.00000000001,2.2203184122224604,0,0,0.1142285999857214,2.4594845434425645,4.247876061969016,0,0,0,0,90.95809238238023
9,1154,16431.0546119104,28,17,0,100,54008.0,2.377364177529953,0,0,0.23735965639364032,2.339688041594454,3.7450079119885475,0,0,0,0,91.30058021249339
10,1493,24278.418989952406,28,20,0,100,58400.0,3.1446751507032817,0,0,0.25787006028131276,2.210314802411252,3.322170127260549,0,0,0,0,91.06496985934362
11,1339,20772.5492523775,28,14,0,100,68200.0,2.139943700810019,0,0,0.18957890503820302,2.050899063595106,3.9294536680645717,0,0,0,0,91.6901246624921
12,1212,17525.186840384715,28,22,0,100,42396.00000000001,2.03978731206454,0,0,0.3025302530253024,2.832783278327833,3.465346534653465,0,0,0,0,91.35955262192886
13,1272,19296.68761327419,28,19,0,100,51792.0,2.3285414794848758,0,0,0.08235998802036539,3.054806828391734,3.848457622042528,0,0,0,0,90.68583408206051
14,957,10496.390336183042,28,14,1,97,50240.0,1.8929346515553411,0,0,0.13262599469496025,2.825335583956274,3.938590145486697,0,0,0,0,91.21051362430671
15,1285,19480.35338635497,28,19,0,100,52314.0,1.6305354826755605,0,0,0.14823049842505098,3.0683713173985545,3.6538817861775064,0,0,0,0,91.4989809153233
16,1125,15385.223872065597,28,17,0,100,50898.0,3.435748792270531,0,0,0.11594202898550722,1.646376811594203,3.292753623188406,0,0,0,0,91.50917874396136
17,1313,20104.264840921634,28,16,0,100,63821.99999999999,3.075019040365575,0,0,0.1554963188626555,2.77989337395278,3.7065244986037067,0,0,0,0,90.28306676821528
18,1034,13397.889701015565,28,15,0,100,52222.00000000001,1.779497098646035,0,0,0.11605415860735015,2.9361702127659584,4.274661508704063,0,0,0,0,90.89361702127661
19,1214,17239.89524634645,28,23,0,100,39736.0,2.703750363407307,0,0,0.1889717995929838,3.7309816842717325,4.893885066382402,0,0,0,0,88.48241108634558
