episode,steps,accumulated_reward,enemies_shotdown,friends_shotdown,sucessful_attacks,interest_point_health,total_distance_traveled,state PURSUING,state HOLD - WAIT,state HOLD - RETURN,state HOLD - NO ENOUGH COMM,state HOLD - INTCPT,state GO HOLD INTCPT,state HOLD - SPREAD,state HOLD - JOYSTICK,state HOLD - NO JOYSTICK,state HOLD - BC,state HOLD - BENCHMARK
0,1078,14623.215090930087,28,22,0,100,15193.262866694173,3.0251494537208825,0,0,0.09791795506081223,2.9426922284065147,5.07627293341579,0,0,0,88.85796742939603,0
1,1189,17281.959595056298,28,15,0,100,20409.065691772386,3.5626576955424727,0,0,0.1379310344827586,3.084945332211943,4.504625735912532,0,0,0,88.70984020185028,0
2,1059,13884.346616856532,28,19,0,100,18453.35916576483,2.9992355771392596,0,0,0.15738117721120554,4.019964926480507,6.785377040334548,0,0,0,86.03804127883447,0
3,1263,18704.05896396828,28,18,0,100,19715.407078738768,1.9002375296912113,0,0,0.07917656373713383,2.7747786655150066,5.067300079176563,0,0,0,90.17850716188008,0
4,1089,14595.09745730027,28,14,0,100,24588.110939945454,3.796708342162888,0,0,0.09182736455463733,3.298721480539662,6.42085187539733,0,0,0,86.39189093734548,0
5,925,11489.548253374265,28,13,0,100,21121.913529850674,3.015015015015015,0,0,0.1641641641641641,2.8148148148148144,5.6856856856856846,0,0,0,88.32032032032033,0
6,1238,17768.387045200485,28,23,0,100,15402.5172162683,1.7675567803858216,0,0,0.08077544426494346,3.896227311603155,6.262472678893851,0,0,0,87.99296778485223,0
7,1440,22682.97585940278,28,18,0,100,21064.449991268746,1.3541666666666667,0,0,0.14520202020202022,3.6616161616161618,5.928030303030303,0,0,0,88.91098484848484,0
8,1149,16123.498960557727,28,17,0,100,19728.36106257395,1.3092670374995272,0,0,0.08703220191470844,2.9590948651000875,5.46032466795323,0,0,0,90.18428122753245,0
9,1156,16218.416768785468,28,16,0,100,21111.549602474417,3.045703575547866,0,0,0.09371395617070358,2.562716262975779,5.092993079584775,0,0,0,89.20487312572088,0
10,1506,24688.549060482324,28,21,0,100,17803.63223642666,1.2930733207520795,0,0,0.11532816104005032,1.8417557838820153,3.945621024673237,0,0,0,92.80422170965261,0
11,1329,20508.01738758958,28,14,0,100,21692.889751232742,1.849279388782775,0,0,0.07524454477050414,2.1213173583376745,4.15870810904671,0,0,0,91.79545059906233,0
12,1315,19532.065868738275,28,22,0,100,17576.568137107257,0.6886354034643007,0,0,0.07604562737642587,4.414871144909168,6.269539501478665,0,0,0,88.55090832277143,0
13,1247,18225.836405589922,28,19,0,100,18653.597101284573,1.8024210486119068,0,0,0.08401115057089396,3.2573414289532976,5.078855920876771,0,0,0,89.77737045098715,0
14,1532,25197.149027162668,28,14,0,100,22874.3096980155,2.033540871660976,0,0,0.11548503715605543,1.9682667202249449,3.6176943161277357,0,0,0,92.26501305483028,0
15,1178,16729.616267175163,28,19,0,100,18290.86849736839,0.873150618481688,0,0,0.08488964346349748,4.709354030236882,6.103969601422913,0,0,0,88.22863610639503,0
16,1341,21039.66854429052,28,17,0,100,20736.99210264931,2.156080796290892,0,0,0.0745712155108128,2.7137437992413185,4.947638037804365,0,0,0,90.10796615115261,0
17,1210,17529.902173927152,28,15,0,100,22387.32417099442,3.0512396694214874,0,0,0.09586776859504129,2.1256198347107436,5.381818181818181,0,0,0,89.34545454545454,0
18,1060,14034.164937027715,28,15,0,100,20183.876286902887,1.9622641509433962,0,0,0.10188679245283018,2.7660377358490575,5.264150943396227,0,0,0,89.90566037735852,0
19,1295,19391.26818213563,28,24,0,100,14910.15174589202,0.6901544401544402,0.06274131274131274,0,0.0916988416988417,3.3880308880308876,5.912162162162162,0,0,0,89.85521235521236,0
20,1324,19679.77520362797,28,17,0,100,19778.428992852758,1.3102587678970181,0,0,0.0755287009063444,2.7650072244844344,4.8666754236174965,0,0,0,90.98252988309473,0
21,1200,16739.946281438508,28,23,0,100,15466.03895053316,3.2549019607843137,0,0,0.08333333333333334,3.715686274509804,6.235294117647059,0,0,0,86.7107843137255,0
22,1471,23179.544270441947,28,22,0,100,17383.202277249446,2.103633204924843,0,0,0.18505929450864866,2.458644912757761,5.257194652164062,0,0,0,89.99546793564468,0
23,1463,23068.078433960127,28,24,0,100,16218.582158685462,1.9651401230348597,0,0,0.07262474367737524,2.093301435406698,4.460013670539987,0,0,0,91.40892002734107,0
24,1270,19224.351971365566,28,16,0,100,21374.956613001475,3.3431758530183724,0,0,0.11811023622047248,2.9724409448818894,5.170603674540683,0,0,0,88.39566929133859,0
25,1512,24491.594922678614,28,27,0,100,12503.331612557016,2.02991452991453,0,0,0.09666259666259663,2.2944647944647945,4.192104192104193,0,0,0,91.38685388685388,0
26,1197,17088.55674381072,28,22,0,100,15661.51549966119,2.1767381416504223,0,0,0.11603081778520374,2.863640582938828,4.89185927782419,0,0,0,89.95173117980134,0
27,1059,14289.152992805577,28,12,0,100,21540.08364073743,3.0014838796708485,0,0,0.10117361392148928,2.556319978416295,4.950762174558207,0,0,0,89.39026035343318,0
28,1160,16571.31939280383,28,15,0,100,19069.41163815943,2.6551724137931036,0,0,0.08620689655172419,2.5517241379310343,4.227586206896552,0,0,0,90.47931034482758,0
29,1071,14367.473048940528,28,16,0,100,20673.25541761434,2.925614690320573,0,0,0.09337068160597574,2.55213196389667,5.722844693432929,0,0,0,88.70603797074385,0
30,1195,17257.258985258497,28,18,0,100,20685.967990262423,2.6740205401293267,0,0,0.12552301255230125,3.837961201977938,6.078356789653859,0,0,0,87.28413845568659,0
31,1522,24885.885974505705,28,23,0,100,16490.508200486092,2.6976887995671333,0,0,0.06570302233902757,2.724742985236144,4.521913890391899,0,0,0,89.98995130246578,0
32,1134,16262.7136826958,28,11,0,100,23438.13297245286,3.0590524843398406,0,0,0.08818342151675489,2.2076263455573795,4.542966611932128,0,0,0,90.1021711366539,0
33,1150,16362.951919358533,28,18,0,100,18305.77966316258,3.683794466403162,0,0,0.08695652173913045,2.996047430830039,5.1857707509881426,0,0,0,88.04743083003953,0
34,1141,15525.702865134783,28,20,0,100,18604.74929824413,2.8264680105170905,0,0,0.18404907975460122,2.4233128834355826,4.574934268185803,0,0,0,89.99123575810691,0
35,1092,15098.68748221032,28,16,0,100,19089.189141666873,2.41529304029304,0,0,0.09157509157509157,3.094474969474969,5.28464590964591,0,0,0,89.11401098901099,0
36,1094,14494.93287717866,28,20,0,100,16461.62635191604,2.1023765996343693,0,0,0.09140767824497262,2.8564899451553925,4.958866544789762,0,0,0,89.99085923217551,0
37,1242,18120.003501985993,28,14,0,100,22342.402010772083,1.3594698377307073,0,0,0.08051529790660229,3.6169949213427475,6.051034311903878,0,0,0,88.89198563111609,0
38,1249,18171.394852403406,28,15,0,100,24129.308849959867,1.8318654923939153,0,0,0.08006405124099283,2.376301040832667,5.33546837469976,0,0,0,90.37630104083264,0
39,1037,13799.456795205017,28,15,0,100,20742.50629792574,2.7810993249758917,0,0,0.09643201542912244,3.471552555448409,5.890067502410799,0,0,0,87.76084860173579,0
40,1202,17052.734853552283,28,20,0,100,16518.70997188608,3.3402662229617306,0,0,0.11231281198003323,3.693843594009983,4.792013311148086,0,0,0,88.06156405990016,0
41,1531,24665.77866243798,28,21,0,100,18680.81071116583,1.2891471002784558,0,0,0.07219223761559353,3.9430712640517034,5.899137130874215,0,0,0,88.79645226718003,0
42,1181,16511.614397782792,28,21,0,100,18685.82398826726,1.6177191496947279,0,0,0.08467400508044032,3.8014171754534516,8.538704933374927,0,0,0,85.95748473639644,0
43,1129,15595.381452128582,28,17,0,100,19819.940434143708,0.8318250086648439,0,0,0.1116802094966689,3.1655562829745447,5.934455270150577,0,0,0,89.95648322871337,0
44,1543,25125.743859806076,28,21,0,100,17898.726462174665,1.6543302520721768,0,0,0.07163079441962003,2.6776273152096053,4.424054302964151,0,0,0,91.17235733533444,0
45,1110,15109.882340484135,28,23,0,100,14023.392297682345,1.9660837307896133,0.03709591944886063,0,0.10068892421833596,3.2962374138844726,5.384207737148913,0,0,0,89.2156862745098,0
46,1160,16265.00757250746,28,13,0,100,23050.295334703682,2.0019157088122608,0,0,0.08620689655172412,3.3876117496807154,5.590676883780333,0,0,0,88.93358876117497,0
47,1311,19648.14306655868,28,20,0,100,17594.107992255344,2.532418001525553,0,0,0.07627765064836005,2.9938977879481317,5.221205186880244,0,0,0,89.1762013729977,0
48,1318,19692.98441563932,28,25,0,100,14383.016982227822,2.3925139099645927,0,0,0.15174506828528075,2.3014668689934243,4.648457258472433,0,0,0,90.50581689428427,0
49,1090,14839.626252794671,28,16,0,100,21367.899474097463,2.2744648318042815,0,0,0.09938837920489296,3.0160550458715605,6.444954128440366,0,0,0,88.1651376146789,0
50,1033,13544.136006913051,28,19,0,100,15708.915195204303,2.079011662748352,0,0,0.09680542110358177,3.1023832572719314,5.734568754897895,0,0,0,88.98723090397823,0
51,1345,20344.61428732506,28,20,0,100,18138.790824933352,2.8698884758364307,0,0,0.1003717472118959,2.349442379182156,5.022304832713754,0,0,0,89.65799256505575,0
52,1273,18834.88548146463,28,17,0,100,19700.631345771068,1.2193039379760238,0,0,0.07855459544383346,3.128522148980498,6.335598893404829,0,0,0,89.2380204241948,0
53,1267,18720.76169529833,28,19,0,100,20074.630623589626,2.6797459315217798,0,0,0.08268500770473936,3.9613635509452396,6.231442853384448,0,0,0,87.04476265644378,0
54,1341,20741.439476892898,28,22,0,100,17753.265996865946,2.473278647775292,0,0,0.12428535918468803,4.043417018808518,6.396553152705279,0,0,0,86.96246582152622,0
55,1332,20562.545427347322,28,16,0,100,22201.968669395756,1.1605355355355356,0,0,0.07507507507507506,2.8059309309309315,4.463838838838839,0,0,0,91.49461961961963,0
56,1458,23632.09584697761,28,19,0,100,17316.77803147325,0.8361094780847869,0,0,0.06858710562414265,2.6716310666927954,4.304657391077145,0,0,0,92.11901495852112,0
57,1133,15667.734821135327,28,20,0,100,18147.825678832167,2.6390114739629302,0,0,0.09708737864077674,3.4863195057369816,6.18711385701677,0,0,0,87.59046778464253,0
58,981,12422.710675050283,28,15,0,100,20214.898555463697,1.928644240570846,0,0,0.10193679918450567,3.7716615698267075,6.629969418960244,0,0,0,87.5677879714577,0
59,1737,29836.761983783246,28,22,0,100,17813.042404270767,2.6354506492675753,0,0,0.05757052389176742,1.6759419177381183,4.2730122177445145,0,0,0,91.35802469135801,0
60,1557,25231.339059449747,28,17,0,100,22149.114518707425,1.6978023512328615,0,0,0.06422607578676945,2.1194605009633913,4.9174834548043895,0,0,0,91.20102761721257,0
61,1257,18874.36520416544,28,16,0,100,20563.986774481826,2.724741447891806,0,0,0.20551577830814108,4.236276849642005,4.998674091752851,0,0,0,87.83479183240519,0
62,1312,20368.22442976703,28,12,0,100,23559.42102664582,2.3165287456445993,0,0,0.07621951219512192,2.833732578397212,4.398954703832753,0,0,0,90.3745644599303,0
63,1179,17270.748117209343,28,12,0,100,24209.071538563807,2.5627044711014175,0,0,0.2302193141887798,2.683872531200775,5.594935175087846,0,0,0,88.92826850842118,0
